N,P,K,Soil_pH,Soil_Moisture,Soil_Type,Organic_Carbon,Electrical_Conductivity,Temperature,Humidity,Rainfall,Sunlight_Hours,Wind_Speed,Region,Altitude,Season,Irrigation_Type,Fertilizer_Used,Soil_pH_Bin,Altitude_Bin,Recommended_Crop
135,20,106,4.62,37.06,0,1.06,1.92,30.87,48.39,2861.62,4.4,3.79,1,622,1,2,184.03,0,0,Rice
106,45,32,6.89,12.5,1,0.84,1.15,10.02,64.6,1929.84,6.42,1.68,0,919,2,0,115.67,2,1,Wheat
126,21,24,5.62,51.74,3,1.39,2.95,17.62,89.68,2633.05,7.76,1.98,0,1628,1,2,163.49,0,1,Sugarcane
51,20,89,6.4,42.97,3,0.4,2.74,17.76,55.78,2006.85,5.49,9.31,2,2404,2,3,120.62,2,2,Wheat
29,58,116,7.8,18.56,3,0.92,0.89,28.88,78.63,1222.93,9.49,4.52,2,2307,0,0,103.18,1,2,Barley
51,88,30,7.17,41.25,3,0.45,1.49,35.66,34.78,1370.0,11.22,17.64,3,345,2,3,154.46,1,0,Millet
120,80,98,7.98,54.1,0,1.18,2.49,25.72,62.35,1359.15,7.66,19.09,3,169,2,2,256.52,1,0,Sugarcane
37,76,10,5.29,43.92,2,0.21,0.83,38.36,68.77,1194.51,7.63,17.04,1,1124,2,2,50.36,0,1,Cotton
31,48,48,5.43,45.91,3,0.29,0.86,32.65,36.46,2920.71,10.81,4.63,3,834,0,3,83.95,0,1,Rice
75,24,17,6.99,19.34,0,1.3,0.3,26.7,88.93,2031.13,11.18,8.13,2,156,0,1,50.91,2,0,Rice
114,41,10,6.36,31.47,2,1.34,1.7,27.63,31.62,1240.69,9.38,16.28,0,824,2,2,336.61,2,0,Sugarcane
71,39,103,6.78,40.9,2,1.31,1.05,36.89,87.22,446.05,8.45,5.98,4,2230,0,0,251.42,2,2,Millet
128,67,70,5.18,24.23,1,0.21,0.49,19.36,78.78,2092.22,11.61,10.79,1,2406,2,0,219.03,0,2,Sugarcane
49,72,67,4.65,57.5,1,0.24,0.93,33.3,56.58,1244.45,5.42,2.06,1,800,0,0,62.99,0,0,Barley
75,61,42,5.85,36.96,3,1.46,1.16,26.44,77.71,1050.2,10.96,7.53,4,1614,0,0,180.36,0,1,Sugarcane
50,79,56,4.89,52.11,3,1.12,1.45,12.88,50.1,294.27,6.96,10.7,2,688,2,0,121.11,0,0,Wheat
114,64,64,5.72,49.9,3,0.22,2.17,22.97,42.23,1538.36,5.02,6.48,2,1547,0,2,142.9,0,1,Rice
132,28,76,5.04,15.57,1,0.23,2.57,18.97,74.96,970.58,10.19,10.92,1,1863,0,3,301.25,0,2,Pulses
141,61,96,7.99,42.15,2,0.29,1.19,26.9,35.61,1760.09,5.07,17.76,1,845,1,2,253.72,1,1,Rice
42,39,68,7.23,25.64,3,1.29,2.01,30.79,31.01,1397.79,8.55,9.58,2,645,1,3,206.49,1,0,Wheat
20,30,10,8.11,10.28,1,1.14,2.98,16.33,69.81,1869.07,5.52,16.88,3,2176,0,3,232.9,1,2,Wheat
152,19,58,7.45,46.16,2,1.3,0.91,15.03,47.66,1347.13,5.98,7.09,2,1327,1,2,262.83,1,1,Wheat
129,89,19,6.36,14.39,0,0.44,0.26,34.37,88.66,2536.43,4.32,10.74,2,526,2,2,114.1,2,0,Rice
154,10,102,5.61,40.22,2,0.68,1.72,37.91,73.75,2742.46,5.88,14.55,0,1347,2,2,164.68,0,1,Rice
35,29,24,4.55,57.82,2,0.26,2.24,11.43,67.05,829.95,7.99,19.1,2,1296,2,2,57.37,0,1,Maize
34,47,47,8.33,56.38,3,1.3,2.3,31.1,56.57,876.29,6.94,12.89,0,12,1,0,346.03,1,0,Wheat
104,27,86,6.09,22.86,3,0.23,1.15,10.53,65.73,670.11,4.91,4.3,3,2130,0,1,141.95,2,2,Wheat
81,14,99,6.35,52.1,3,0.31,2.46,35.23,51.44,2659.29,7.81,18.14,4,2244,0,2,78.4,2,2,Rice
151,10,117,8.34,47.44,2,0.55,0.9,18.99,78.9,2720.25,10.86,15.04,4,719,0,1,120.05,1,0,Wheat
87,11,81,6.48,42.8,1,0.4,1.3,17.72,62.88,883.91,9.05,16.06,3,1543,0,3,274.09,2,1,Wheat
155,18,119,6.42,53.31,0,1.19,1.09,15.11,37.97,2126.25,6.98,1.9,2,531,1,2,119.44,2,0,Wheat
75,27,24,4.9,10.47,0,0.67,2.08,30.17,58.77,1302.56,10.95,14.28,1,1773,2,3,181.38,0,2,Millet
144,27,101,7.55,19.77,1,1.1,2.76,39.87,33.71,1248.21,10.68,6.18,0,1714,2,2,127.71,1,2,Sugarcane
32,18,70,8.22,29.44,2,0.6,1.44,35.21,35.67,2766.37,11.35,14.35,3,1942,0,3,345.49,1,2,Rice
66,29,32,7.02,30.54,0,1.42,0.41,21.15,85.85,2552.77,9.52,18.34,3,2155,1,0,243.41,1,2,Rice
